[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /ping                     --> main.main.func1 (3 handlers)
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2020/01/14 - 15:08:43 | 200 |            0s |             ::1 | GET      /ping
[GIN] 2020/01/14 - 15:09:13 | 200 |            0s |             ::1 | GET      /ping
[GIN] 2020/01/14 - 15:09:15 | 200 |            0s |             ::1 | GET      /ping
[GIN] 2020/01/14 - 15:09:16 | 200 |            0s |             ::1 | GET      /ping
[GIN] 2020/01/14 - 15:09:17 | 200 |            0s |             ::1 | GET      /ping
[GIN] 2020/01/14 - 15:09:17 | 200 |            0s |             ::1 | GET      /ping
[GIN] 2020/01/14 - 15:09:17 | 200 |            0s |             ::1 | GET      /ping
[GIN] 2020/01/14 - 15:09:18 | 200 |            0s |             ::1 | GET      /ping
[GIN] 2020/01/14 - 15:09:18 | 200 |            0s |             ::1 | GET      /ping
[GIN] 2020/01/14 - 15:09:18 | 200 |            0s |             ::1 | GET      /ping
[GIN] 2020/01/14 - 15:09:18 | 200 |            0s |             ::1 | GET      /ping
[GIN] 2020/01/14 - 15:09:19 | 200 |            0s |             ::1 | GET      /ping
[GIN] 2020/01/14 - 15:09:19 | 200 |            0s |             ::1 | GET      /ping
[GIN] 2020/01/14 - 15:09:20 | 200 |            0s |             ::1 | GET      /ping
[GIN] 2020/01/14 - 15:09:20 | 200 |            0s |             ::1 | GET      /ping
[GIN] 2020/01/14 - 15:09:20 | 200 |            0s |             ::1 | GET      /ping
[GIN] 2020/01/14 - 15:09:21 | 200 |            0s |             ::1 | GET      /ping
[GIN] 2020/01/14 - 15:09:21 | 200 |            0s |             ::1 | GET      /ping
[GIN] 2020/01/14 - 15:09:21 | 200 |            0s |             ::1 | GET      /ping
[GIN] 2020/01/14 - 15:09:21 | 200 |            0s |             ::1 | GET      /ping
[GIN] 2020/01/14 - 15:09:22 | 200 |            0s |             ::1 | GET      /ping
[GIN] 2020/01/14 - 15:09:22 | 200 |            0s |             ::1 | GET      /ping
[GIN] 2020/01/14 - 15:09:22 | 200 |            0s |             ::1 | GET      /ping
[GIN] 2020/01/14 - 15:09:22 | 200 |            0s |             ::1 | GET      /ping
[GIN] 2020/01/14 - 15:09:22 | 200 |            0s |             ::1 | GET      /ping
[GIN] 2020/01/14 - 15:09:23 | 200 |            0s |             ::1 | GET      /ping
